CMDLINE python basic_decode.py
MEM 0.589844 1408955310.7048
MEM 16.062500 1408955310.8051
MEM 25.710938 1408955310.9054
MEM 38.925781 1408955311.0058
MEM 55.800781 1408955311.1064
MEM 59.140625 1408955311.2067
MEM 61.707031 1408955311.3071
MEM 66.863281 1408955311.4075
MEM 67.894531 1408955311.5079
MEM 67.894531 1408955311.6085
MEM 67.894531 1408955311.7088
MEM 67.894531 1408955311.8091
MEM 67.894531 1408955311.9095
MEM 67.894531 1408955312.0098
MEM 67.894531 1408955312.1101
MEM 67.894531 1408955312.2104
MEM 67.894531 1408955312.3108
MEM 67.894531 1408955312.4111
MEM 67.894531 1408955312.5119
MEM 67.894531 1408955312.6128
MEM 67.894531 1408955312.7138
MEM 67.894531 1408955312.8141
MEM 68.109375 1408955312.9144
MEM 68.109375 1408955313.0148
MEM 68.367188 1408955313.1151
MEM 68.367188 1408955313.2155
MEM 68.367188 1408955313.3158
MEM 68.625000 1408955313.4161
MEM 68.625000 1408955313.5164
MEM 68.625000 1408955313.6168
MEM 68.882812 1408955313.7171
MEM 68.882812 1408955313.8174
MEM 69.140625 1408955313.9177
MEM 69.140625 1408955314.0180
MEM 69.140625 1408955314.1183
MEM 69.398438 1408955314.2187
MEM 69.398438 1408955314.3190
MEM 69.398438 1408955314.4193
MEM 69.656250 1408955314.5197
MEM 69.656250 1408955314.6205
MEM 69.914062 1408955314.7212
MEM 69.914062 1408955314.8217
MEM 69.914062 1408955314.9237
MEM 70.171875 1408955315.0240
MEM 70.171875 1408955315.1244
MEM 70.171875 1408955315.2247
MEM 70.429688 1408955315.3250
MEM 70.429688 1408955315.4253
MEM 70.687500 1408955315.5256
MEM 70.687500 1408955315.6259
MEM 70.687500 1408955315.7262
MEM 70.945312 1408955315.8266
MEM 70.945312 1408955315.9270
MEM 70.945312 1408955316.0273
MEM 71.203125 1408955316.1276
MEM 71.203125 1408955316.2280
MEM 71.460938 1408955316.3287
MEM 71.460938 1408955316.4291
MEM 71.460938 1408955316.5295
MEM 71.718750 1408955316.6300
MEM 71.718750 1408955316.7304
MEM 71.718750 1408955316.8308
MEM 71.976562 1408955316.9311
MEM 71.976562 1408955317.0315
MEM 72.234375 1408955317.1319
MEM 72.234375 1408955317.2322
MEM 72.234375 1408955317.3325
MEM 72.492188 1408955317.4329
MEM 72.492188 1408955317.5332
MEM 72.492188 1408955317.6336
MEM 72.750000 1408955317.7339
MEM 72.750000 1408955317.8343
MEM 73.007812 1408955317.9346
MEM 73.007812 1408955318.0349
MEM 73.007812 1408955318.1353
MEM 73.265625 1408955318.2356
MEM 73.265625 1408955318.3360
MEM 73.265625 1408955318.4363
MEM 73.523438 1408955318.5367
MEM 73.523438 1408955318.6370
MEM 73.781250 1408955318.7374
MEM 73.781250 1408955318.8378
MEM 73.781250 1408955318.9381
MEM 74.039062 1408955319.0385
MEM 74.039062 1408955319.1388
MEM 74.039062 1408955319.2395
MEM 74.296875 1408955319.3400
MEM 74.296875 1408955319.4403
MEM 74.554688 1408955319.5406
MEM 74.554688 1408955319.6419
MEM 74.554688 1408955319.7423
MEM 74.812500 1408955319.8426
MEM 74.812500 1408955319.9429
MEM 75.070312 1408955320.0432
MEM 75.070312 1408955320.1436
MEM 75.070312 1408955320.2439
MEM 75.328125 1408955320.3443
MEM 75.328125 1408955320.4446
MEM 75.585938 1408955320.5450
MEM 75.585938 1408955320.6453
MEM 75.585938 1408955320.7456
MEM 75.843750 1408955320.8460
MEM 75.843750 1408955320.9464
MEM 76.101562 1408955321.0467
MEM 76.101562 1408955321.1471
